Neighbourhood,Latitude,Longitude
Rajpur Sonarpur,22.45258000000007,88.35720000000003
"Ramchandrapur, Maheshtala",22.45995000000005,88.33198000000004
"Ramchandrapur, Sonarpur",22.428780000000074,88.37892000000005
"Ramchandrapur, West Bengal",22.45995000000005,88.33198000000004
"Rameswarpur, Maheshtala",22.47234000000003,88.23347000000007
"Ramkrishnapur, Bishnupur",22.35184000000004,88.26581000000004
Ramrajatala,22.584010000000035,88.30303000000004
Ranikuthi,22.614730000000066,88.42345000000006
"Regent Park, Kolkata",22.489044415520315,88.34928467104642
Rishra,22.48458000000005,88.37909000000008
"Rishra, Sreerampur Uttarpara",22.725370000000055,88.35280000000006
Ruiya,22.514260000000036,88.39311000000004
Sahaganj,22.490805436580303,88.39350313266777
Sahebpur,22.410510000000045,88.49137000000007
Salkia,22.56913000000003,88.41072000000008
Samali,22.415880000000072,88.26348000000007
Sankrail,22.540110000000027,88.21667000000008
"Santoshpur, Kolkata",22.492120000000057,88.39279000000005
"Santoshpur, Uluberia",22.525030000000072,88.27244000000007
Santragachhi,22.586580000000026,88.28389000000004
Saptagram,22.682270000000074,88.42591000000004
Sarenga,22.677350000000047,88.44643000000008
Sarsuna,22.479370000000074,88.28322000000009
Sarsuna satellite township,26.663860000000057,88.42035000000004
Sealdah,22.565390000000036,88.37002000000007
Serampore,22.744670000000042,88.34975000000009
Shankhanagar,22.97210000000007,88.39176000000003
Sheoraphuli,22.770440000000065,88.32161000000008
Shibpur,22.570530000000076,88.37124000000006
Shobhabazar,22.59764027450955,88.35947426470703
Shyambazar,22.598470000000077,88.37231000000008
"Shyamnagar, West Bengal",22.599300000000028,88.36984000000007
Shyampukur,22.598240000000033,88.36950000000007
"Simla, West Bengal",22.583260000000053,88.36677000000003
Sinthee,22.625470000000064,88.38461000000007
Sodepur,22.476740000000063,88.33412000000004
Sonagachi,22.59268000000003,88.36225000000007
South Dumdum,22.605710000000045,88.39886000000007
South Eastern Railway Colony,22.538180000000068,88.31038000000007
South West Kolkata,22.575570000000027,88.35052000000007
Subhashgram,22.560083161809686,88.40264142783775
Sukchar,22.570530000000076,88.37124000000006
Survey Park,22.488350000000025,88.39135000000005
"Tala, Kolkata",22.607610000000022,88.37960000000004
Talbandha,22.47009653067112,88.35392826242139
Taltala,22.459070000000054,88.32211000000007
"Tangra, Kolkata",22.551490000000058,88.38734000000005
Taratala,22.523810000000026,88.28909000000004
"Techno City, Kolkata",22.56326000000007,88.35288000000008
Teghoria,22.62163000000004,88.43476000000004
Tentulberia,22.463303348652886,88.40225638811405
Tentulkuli,22.510746000000005,88.234722
Thakurpukur,22.465760000000046,88.30867000000006
Tiljala,22.52893000000006,88.38498000000004
Tiretta Bazaar,22.57620000000003,88.35468000000003
Titagarh,22.743120000000033,88.37262000000004
Tollygunge,22.49783000000008,88.34833000000003
Topsia,22.530980000000056,88.39960000000008
"Tribeni, Hooghly",22.98314000000005,88.38074000000006
Ultadanga,22.58722000000006,88.38607000000007
Uluberia,22.468140000000062,88.09343000000007
Uttar Pirpur,22.491490000000056,88.10013000000004
Uttar Raypur,22.47497000000004,88.37825000000004
Uttarpara,22.505180000000053,88.23032000000006
Watgunge,22.543340000000057,88.32440000000008
